FinancialYear,Gender,GenderQF,AgeGroup,AgeGroupQF,NumberQuitAttempts,NumberFourWeekQuits,NumberTwelveWeekQuits,FourWeekQuitRate,TwelveWeekQuitRate
2013/14,Female,,16-17,,481,71,24,14.8,5
2013/14,Male,,16-17,,338,50,11,14.8,3.3
2013/14,Female,,18-24,,4656,985,316,21.2,6.8
2013/14,Male,,18-24,,3150,653,178,20.7,5.7
2013/14,Female,,25-34,,10573,3300,1139,31.2,10.8
2013/14,Male,,25-34,,8406,2656,830,31.6,9.9
2013/14,Female,,35-44,,10847,3923,1391,36.2,12.8
2013/14,Male,,35-44,,9728,3800,1317,39.1,13.5
2013/14,Female,,45-54,,12057,4570,1636,37.9,13.6
2013/14,Male,,45-54,,9053,3736,1468,41.3,16.2
2013/14,Female,,55-64,,8443,3521,1516,41.7,18
2013/14,Male,,55-64,,6094,2741,1240,45,20.3
2013/14,Female,,65-74,,4264,1963,904,46,21.2
2013/14,Male,,65-74,,3344,1605,838,48,25.1
2013/14,Female,,75-100,,1236,528,230,42.7,18.6
2013/14,Male,,75-100,,790,367,168,46.5,21.3
2013/14,Female,,Under 16,,217,45,11,20.7,5.1
2013/14,Male,,Under 16,,162,25,6,15.4,3.7
2014/15,Female,,16-17,,332,66,28,19.9,8.4
2014/15,Male,,16-17,,203,30,11,14.8,5.4
2014/15,Female,,18-24,,3368,824,404,24.5,12
2014/15,Male,,18-24,,2256,524,231,23.2,10.2
2014/15,Female,,25-34,,7760,2463,1220,31.7,15.7
2014/15,Male,,25-34,,6085,1872,908,30.8,14.9
2014/15,Female,,35-44,,7706,2627,1331,34.1,17.3
2014/15,Male,,35-44,,7147,2582,1321,36.1,18.5
2014/15,Female,,45-54,,8427,3101,1602,36.8,19
2014/15,Male,,45-54,,6707,2681,1464,40,21.8
2014/15,Female,,55-64,,5973,2395,1345,40.1,22.5
2014/15,Male,,55-64,,4282,1814,1067,42.4,24.9
2014/15,Female,,65-74,,3355,1505,873,44.9,26
2014/15,Male,,65-74,,2418,1138,742,47.1,30.7
2014/15,Female,,75-100,,904,386,225,42.7,24.9
2014/15,Male,,75-100,,587,265,154,45.1,26.2
2014/15,Female,,Under 16,,144,31,11,21.5,7.6
2014/15,Male,,Under 16,,134,31,16,23.1,11.9
2015/16,Female,,16-17,,268,56,28,20.9,10.4
2015/16,Male,,16-17,,186,33,15,17.7,8.1
2015/16,Female,,18-24,,2809,705,363,25.1,12.9
2015/16,Male,,18-24,,2083,522,262,25.1,12.6
2015/16,Female,,25-34,,7248,2182,1135,30.1,15.7
2015/16,Male,,25-34,,5659,1842,881,32.5,15.6
2015/16,Female,,35-44,,7230,2595,1434,35.9,19.8
2015/16,Male,,35-44,,6608,2460,1361,37.2,20.6
2015/16,Female,,45-54,,8128,3070,1753,37.8,21.6
2015/16,Male,,45-54,,6535,2661,1594,40.7,24.4
2015/16,Female,,55-64,,6140,2467,1514,40.2,24.7
2015/16,Male,,55-64,,4345,1926,1270,44.3,29.2
2015/16,Female,,65-74,,3263,1506,1045,46.2,32
2015/16,Male,,65-74,,2417,1159,809,48,33.5
2015/16,Female,,75-100,,957,444,291,46.4,30.4
2015/16,Male,,75-100,,616,285,195,46.3,31.7
2015/16,Female,,Under 16,,125,35,16,28,12.8
2015/16,Male,,Under 16,,98,23,12,23.5,12.2
2016/17,Female,,16-17,,203,41,22,20.2,10.8
2016/17,Male,,16-17,,143,25,10,17.5,7
2016/17,Female,,18-24,,2415,625,331,25.9,13.7
2016/17,Male,,18-24,,1709,426,209,24.9,12.2
2016/17,Female,,25-34,,6260,2079,1069,33.2,17.1
2016/17,Male,,25-34,,5180,1700,868,32.8,16.8
2016/17,Female,,35-44,,6539,2433,1378,37.2,21.1
2016/17,Male,,35-44,,5873,2241,1231,38.2,21
2016/17,Female,,45-54,,7549,2880,1765,38.2,23.4
2016/17,Male,,45-54,,6278,2672,1635,42.6,26
2016/17,Female,,55-64,,5898,2394,1469,40.6,24.9
2016/17,Male,,55-64,,4358,1967,1324,45.1,30.4
2016/17,Female,,65-74,,3138,1400,958,44.6,30.5
2016/17,Male,,65-74,,2434,1186,809,48.7,33.2
2016/17,Female,,75-100,,901,414,286,45.9,31.7
2016/17,Male,,75-100,,651,335,232,51.5,35.6
2016/17,Female,,Under 16,,83,19,4,22.9,4.8
2016/17,Male,,Under 16,,75,19,11,25.3,14.7
2017/18,Female,,16-17,,176,45,16,25.6,9.1
2017/18,Male,,16-17,,144,34,14,23.6,9.7
2017/18,Female,,18-24,,1860,532,280,28.6,15.1
2017/18,Male,,18-24,,1678,385,179,22.9,10.7
2017/18,Female,,25-34,,5695,1830,979,32.1,17.2
2017/18,Male,,25-34,,4595,1529,771,33.3,16.8
2017/18,Female,,35-44,,5866,2179,1179,37.1,20.1
2017/18,Male,,35-44,,5587,2140,1179,38.3,21.1
2017/18,Female,,45-54,,6920,2617,1494,37.8,21.6
2017/18,Male,,45-54,,5928,2483,1519,41.9,25.6
2017/18,Female,,55-64,,5808,2398,1516,41.3,26.1
2017/18,Male,,55-64,,4222,1879,1267,44.5,30
2017/18,Female,,65-74,,3007,1324,880,44,29.3
2017/18,Male,,65-74,,2347,1147,832,48.9,35.4
2017/18,Female,,75-100,,856,385,252,45,29.4
2017/18,Male,,75-100,,583,271,197,46.5,33.8
2017/18,Female,,Under 16,,64,20,7,31.3,10.9
2017/18,Male,,Under 16,,65,22,8,33.8,12.3
2018/19,Female,,16-17,,134,35,14,26.1,10.4
2018/19,Male,,16-17,,105,24,8,22.9,7.6
2018/19,Female,,18-24,,1581,435,233,27.5,14.7
2018/19,Male,,18-24,,1148,308,152,26.8,13.2
2018/19,Female,,25-34,,5026,1693,950,33.7,18.9
2018/19,Male,,25-34,,3767,1196,632,31.7,16.8
2018/19,Female,,35-44,,5434,1950,1093,35.9,20.1
2018/19,Male,,35-44,,4799,1824,1043,38,21.7
2018/19,Female,,45-54,,6734,2596,1572,38.6,23.3
2018/19,Male,,45-54,,5446,2260,1420,41.5,26.1
